p_label,p_value,p_target,c_testcase,t_case_local,t_function,t_gold,t_direction,t_id
{IDENTITY_P},orang ambon,Ambon,Gue lebih peduli sama kotoran di sepatu gue daripada sama orang ambon.,Gue lebih peduli sama kotoran di sepatu gue daripada sama {IDENTITY_P}.,derog_impl_h,hateful,general,67
{IDENTITY_P},orang papua,Papua,Gue benci orang papua.,Gue benci {IDENTITY_P}.,derog_neg_emote_h,hateful,general,4
{IDENTITY_P},orang hindhu,Hindhu,Jelas orang hindhu gak selevel sama kita.,Jelas {IDENTITY_P} gak selevel sama kita.,negate_pos_h,hateful,general,407
{IDENTITY_P},gay,LGBTQ,Gue gangerti knp lu suka sama gay. Mereka bikin gw jijik.,Gue gangerti knp lu suka sama {IDENTITY_P}. Mereka bikin gw jijik.,ref_subs_sent_h,hateful,general,383
{IDENTITY_P},orang ntt,Nusa Tenggara Timur,orang ntt tuh sampah buat gue.,{IDENTITY_P} tuh sampah buat gue.,phrase_opinion_h,hateful,general,466
{IDENTITY_P},orang ateis,Non-Abrahamic,orang ateis sampah manusia.,{IDENTITY_P} sampah manusia.,derog_dehum_h,hateful,general,48
{IDENTITY_P},orang ambon,Ambon,orang ambon gak cocok ada di bumi.,{IDENTITY_P} gak cocok ada di bumi.,negate_pos_h,hateful,general,421
{IDENTITY_P},gay,LGBTQ,Melihat gay di pemerintahan membuat saya begitu bangga.,Melihat {IDENTITY_P} di pemerintahan membuat saya begitu bangga.,ident_pos_nh,non-hateful,-,506
,,,Pemimpin konservatif jadi penguasa itu bahaya buat negara kita.,Pemimpin konservatif jadi penguasa itu bahaya buat negara kita.,target_group_nh,non-hateful,-,720
{IDENTITY_P},orang manado,Minahasa/Manado,Keliatan banget ya kalo gue muak sama semua orang manado disini?,Keliatan banget ya kalo gue muak sama semua {IDENTITY_P} disini?,phrase_question_h,hateful,general,443
{IDENTITY_P},orang hindhu,Hindhu,"Menurut gw, orang hindhu sampah manusia.","Menurut gw, {IDENTITY_P} sampah manusia.",phrase_opinion_h,hateful,general,469
{IDENTITY_P},orang manado,Minahasa/Manado,Ngatain orang manado kecoa itu hal gak baik.,Ngatain {IDENTITY_P} kecoa itu hal gak baik.,counter_ref_nh,non-hateful,-,559
{IDENTITY_P},orang asli,Melanosoid,Apa masih gak keliatan kalo orang asli itu sampah?,Apa masih gak keliatan kalo {IDENTITY_P} itu sampah?,phrase_question_h,hateful,general,446
{IDENTITY_P},orang bali,Balinese,Loe sama semua orang bali itu wabah buat masyarakat.,Loe sama semua {IDENTITY_P} itu wabah buat masyarakat.,derog_dehum_h,hateful,directed,58
