p_label,p_value,p_target,c_testcase,t_case_local,t_function,t_gold,t_direction,t_id
{IDENTITY_P},เด็กผู้ชาย,boy,เราควรเอาเด็กผู้ชายเป็นแบบอย่างนะ,เราควรเอา{IDENTITY_P}เป็นแบบอย่างนะ,ident_pos_nh,non-hateful,-,528
{IDENTITY_P},คนไทย,Thai,อีพวกคนไทยคิดว่าตัวเองเก่ง เราเกลียดมัน,อีพวก{IDENTITY_P}คิดว่าตัวเองเก่ง เราเกลียดมัน,ref_subs_sent_h,hateful,general,382
{IDENTITY_P},คนพิการ,disbabled,พวกคนพิการต้องไสหัวออกไปจากประเทศของเราให้หมด,พวก{IDENTITY_P}ต้องไสหัวออกไปจากประเทศของเราให้หมด,profanity_h,hateful,general,245
{IDENTITY_P},เด็กผู้หญิง,girl,ได้แต่หวังว่าจะมีใครจัดการพวกเด็กผู้หญิงสักที,ได้แต่หวังว่าจะมีใครจัดการพวก{IDENTITY_P}สักที,threat_norm_h,hateful,directed,116
{IDENTITY_P},แรงงานต่างด้าว,migrant workers,อีพวกแรงงานต่างด้าวมันก็แค่เชื้อโรค,อีพวก{IDENTITY_P}มันก็แค่เชื้อโรค,derog_dehum_h,hateful,general,56
{IDENTITY_P},แรงงานต่างด้าว,migrant workers,เราควรกำจัดแรงงานต่างด้าวให้หมดซะที,เราควรกำจัด{IDENTITY_P}ให้หมดซะที,threat_norm_h,hateful,general,105
{IDENTITY_P},เด็กผู้หญิง,girl,อีพวกเด็กผู้หญิงไม่ควรอยู่บนโลกนี้,อีพวก{IDENTITY_P}ไม่ควรอยู่บนโลกนี้,negate_pos_h,hateful,general,421
,,,เออ แม่งเริ่ด,เออ แม่งเริ่ด,profanity_nh,non-hateful,-,263
{IDENTITY_S},คนแปลงเพศ,trans/ladyboy,นี่เป็นครั้งแรกที่คนแปลงเพศถูกเสนอชื่อขึ้นมา,นี่เป็นครั้งแรกที่{IDENTITY_S}ถูกเสนอชื่อขึ้นมา,ident_neutral_nh,non-hateful,-,493
{IDENTITY_P},ผู้สูงอายุ,elderly,เราว่านะ พวกผู้สูงอายุแม่งโง่ชิบหายเลยว่ะ,เราว่านะ พวก{IDENTITY_P}แม่งโง่ชิบหายเลยว่ะ,phrase_opinion_h,hateful,general,465
{IDENTITY_S},คนมาเล,Malay,มันเป็นสันดานของไอพวกคนมาเลที่น่ารำคาญและเหี้ย,มันเป็นสันดานของไอพวก{IDENTITY_S}ที่น่ารำคาญและเหี้ย,profanity_h,hateful,general,259
{IDENTITY_S},ผู้ชาย,male,สำหรับกูผู้ชายตาย กับ หนูตาย ก็ไม่ต่างกันหรอก,สำหรับกู{IDENTITY_S}ตาย กับ หนูตาย ก็ไม่ต่างกันหรอก,derog_impl_h,hateful,general,70
{IDENTITY_S},ผู้ชาย,male,ชีวิตแมลงยังมีค่ามากกว่าชีวิตของพวกผู้ชายเลย,ชีวิตแมลงยังมีค่ามากกว่าชีวิตของพวก{IDENTITY_S}เลย,derog_impl_h,hateful,general,68
{IDENTITY_P},เกย์,gay,เกย์ แม่งโคตรเหี้ยทุกคนเลย,{IDENTITY_P} แม่งโคตรเหี้ยทุกคนเลย,profanity_h,hateful,general,258
{IDENTITY_P},เด็กผู้หญิง,girl,พวกเด็กผู้หญิงมันน่าสมเพชชะมัด,พวก{IDENTITY_P}มันน่าสมเพชชะมัด,derog_neg_emote_h,hateful,general,10
{IDENTITY_P},คนมาเล,Malay,คนมาเล ส่วนใหญ่มันก็สมองเพี้ยนๆ กันทั้งนั้นแหละวะ,{IDENTITY_P} ส่วนใหญ่มันก็สมองเพี้ยนๆ กันทั้งนั้นแหละวะ,phrase_opinion_h,hateful,general,479
{IDENTITY_P},คนแปลงเพศ,trans/ladyboy,"พูดว่า ""คนแปลงเพศเป็นมะเร็ง"" มันดูไร้มนุษยธรรมมาก","พูดว่า ""{IDENTITY_P}เป็นมะเร็ง"" มันดูไร้มนุษยธรรมมาก",counter_quote_nh,non-hateful,-,540
{SLUR_S},แรงงานต่างด้าว,migrant workers,มันไม่โอเคเลยที่จะเรียกคนว่าแรงงานต่างด้าว,มันไม่โอเคเลยที่จะเรียกคนว่า{SLUR_S},counter_ref_nh,non-hateful,-,566
{IDENTITY_P},คนอีสาน,Thai Isan,เห็นไหมว่าเราจะดีกว่านี้ถ้าอีพวกคนอีสาน ถูกกำจัดออกไป,เห็นไหมว่าเราจะดีกว่านี้ถ้าอีพวก{IDENTITY_P} ถูกกำจัดออกไป,phrase_question_h,hateful,general,457
{SLUR_S},ตุ๊ด,trans/ladyboy,เราไม่เชื่อไอพวกตุ๊ด,เราไม่เชื่อไอพวก{SLUR_S},slur_h,hateful,directed,123
{IDENTITY_P},คนพม่า,Myanmar,คนพม่า สวย,{IDENTITY_P} สวย,ident_pos_nh,non-hateful,-,507
{IDENTITY_P},คนพม่า,Myanmar,อีพวกคนพม่าไม่สมควรมีชีวิตเหมือนคนอื่น,อีพวก{IDENTITY_P}ไม่สมควรมีชีวิตเหมือนคนอื่น,negate_pos_h,hateful,general,408
{IDENTITY_P},เกย์,gay,"มึงแม่งโคตรน่าสงสารเลยว่ะ ถึงได้มาเขียนว่า ""เกย์ สมควรตาย""","มึงแม่งโคตรน่าสงสารเลยว่ะ ถึงได้มาเขียนว่า ""{IDENTITY_P} สมควรตาย""",counter_quote_nh,non-hateful,-,545
{IDENTITY_P},คนแปลงเพศ,trans/ladyboy,เราไม่ควรทำให้คนแปลงเพศต้องทนทุกข์มากไปกว่าที่พวกเขาเป็นอยู่แล้ว,เราไม่ควรทำให้{IDENTITY_P}ต้องทนทุกข์มากไปกว่าที่พวกเขาเป็นอยู่แล้ว,negate_neg_nh,non-hateful,-,432
{IDENTITY_P},คนแปลงเพศ,trans/ladyboy,เป็นเรื่องน่าเศร้าใจที่ยังเห็นคนเรียกร้องให้คนแปลงเพศตายในปี 2020,เป็นเรื่องน่าเศร้าใจที่ยังเห็นคนเรียกร้องให้{IDENTITY_P}ตายในปี 2020,counter_ref_nh,non-hateful,-,563
{IDENTITY_P},เด็กผู้หญิง,girl,เด็กผู้หญิงแบบคุณนั่นสวยงามเหลือเกิน,{IDENTITY_P}แบบคุณนั่นสวยงามเหลือเกิน,ident_pos_nh,non-hateful,-,508
{IDENTITY_P},คนกรุง,Thai-Central,กูเข้าใจนะว่าคนกรุงก็เป็นคนๆ นึง แต่นิสัยแม่งเหมือนปลวกเลยว่ะ,กูเข้าใจนะว่า{IDENTITY_P}ก็เป็นคนๆ นึง แต่นิสัยแม่งเหมือนปลวกเลยว่ะ,ref_subs_sent_h,hateful,general,391
{IDENTITY_P},คนคริสต์,christianity,เราไม่ควรให้พวกคนคริสต์โดนทำร้ายอีกต่อไป,เราไม่ควรให้พวก{IDENTITY_P}โดนทำร้ายอีกต่อไป,negate_neg_nh,non-hateful,-,435
{IDENTITY_P},ผู้หญิง,women,กูจะทำร้ายพวกผู้หญิงแบบมึง,กูจะทำร้ายพวก{IDENTITY_P}แบบมึง,threat_dir_h,hateful,directed,88
{IDENTITY_P},คนพิการ,disbabled,คนพิการ แม่งโคตรเหี้ยทุกคนเลย,{IDENTITY_P} แม่งโคตรเหี้ยทุกคนเลย,profanity_h,hateful,general,258
{IDENTITY_P},คนฮินดู,hinduism,พวกคนฮินดูก็แบบนี้แหละ มันน่ารังเกียจชิบหาย,พวก{IDENTITY_P}ก็แบบนี้แหละ มันน่ารังเกียจชิบหาย,ref_subs_sent_h,hateful,general,385
{IDENTITY_P},คนฮินดู,hinduism,มีแต่อีพวกคนฮินดูที่โหดร้ายและชั่วแบบนี้,มีแต่อีพวก{IDENTITY_P}ที่โหดร้ายและชั่วแบบนี้,derog_neg_attrib_h,hateful,general,33
{IDENTITY_P},แรงงาน,labour workers,ไอ้พวกแรงงานที่กล้าเถียงกุ กุอยากจะฆ่ามันให้ตาย,ไอ้พวก{IDENTITY_P}ที่กล้าเถียงกุ กุอยากจะฆ่ามันให้ตาย,ref_subs_clause_h,hateful,general,372
{IDENTITY_S},คนพม่า,Myanmar,ควรเป็นเรื่องถูกกฎหมายที่จะฆ่าคนพม่าอย่างเช่นมึง,ควรเป็นเรื่องถูกกฎหมายที่จะฆ่า{IDENTITY_S}อย่างเช่นมึง,threat_norm_h,hateful,directed,111
