Unnamed: 0,t_function,p_target,index,t_gold,c_perturb_id,c_perturb
0,counter_quote_nh,AIDS Patient,1,non-hateful,AIDS Patient_counter_quote_nh_1,"Bakit mo sinasabi na ""nakakasakit ang mga taong may aids"" kapag nakikita mo ang aking kapatid na mayroon dito?"
1,counter_quote_nh,AIDS Patient,2,non-hateful,AIDS Patient_counter_quote_nh_2,"Grabe, bakit mo sinasabi na ""nakakadiri ang mga taong may aids"" kapag nakikita mo ang aking kapatid na mayroon dito sa pamilya?"
2,counter_quote_nh,AIDS Patient,3,non-hateful,AIDS Patient_counter_quote_nh_3,"""Kawawa naman ang Lolo kung sabihin mong basura siya dahil may AIDS siya."""
3,counter_quote_nh,AIDS Patient,4,non-hateful,AIDS Patient_counter_quote_nh_4,"""Kapag nakita ko ang mga taong may AIDS sa kapitbahayan, ako ay nagpapasalamat na hindi ako nakasakop sa kanilang pagsasabihan."""
4,counter_quote_nh,AIDS Patient,5,non-hateful,AIDS Patient_counter_quote_nh_5,"""Ang mga komento na 'nagkalat-lalatang nagpapakamatay ang mga taong may AIDS' ay nakakapahamak sa akin, kaya ako ay nagpapasalamat na may mga grupo sa Facebook na nagtutulungang magkakaisa laban sa diskriminasyon."""
5,counter_quote_nh,AIDS Patient,6,non-hateful,AIDS Patient_counter_quote_nh_6,"""Hindi ko alam bakit may mga tao pa rin na nagsasabi ng ganun katangkaran sa mga taong may AIDS, kasi sila na rin tayo ay mayroon ng mga magulang na mayroon ng sakit na 'yon."""
6,counter_quote_nh,AIDS Patient,7,non-hateful,AIDS Patient_counter_quote_nh_7,"""Ang mga post na ganyan ang sobrang nakakainis, kasi ang mga taong may AIDS ay deserve na ng malasakit at pag-asa, hindi pagpupunas."""
7,counter_quote_nh,AIDS Patient,8,non-hateful,AIDS Patient_counter_quote_nh_8,Bakit mo sinasabi na sobrang nakakadiri ang mga lola at lolo na may aids?
8,counter_quote_nh,AIDS Patient,9,non-hateful,AIDS Patient_counter_quote_nh_9,Bakit mo sinasabi na sobrang nakakadiri ang mga OFW na may aids sa probinsya?
9,counter_quote_nh,AIDS Patient,10,non-hateful,AIDS Patient_counter_quote_nh_10,Bakit mo sinasabi na sobrang nakakadiri ang mga tita at tito na may aids sa kapitbahayan? 
0,counter_quote_nh,Aeta/Agta/Ata/Negrito (Based on experience),1,non-hateful,Aeta/Agta/Ata/Negrito (Based on experience)_counter_quote_nh_1,"""Tangkoy kasi ang mga aeta ay di makakapag-aral kaya di makakapag-panatili ng trabaho"""
1,counter_quote_nh,Aeta/Agta/Ata/Negrito (Based on experience),2,non-hateful,Aeta/Agta/Ata/Negrito (Based on experience)_counter_quote_nh_2,"""Mga tao sa bundok lang ang mga aeta kaya di makakapag-panatili ng pera"""
2,counter_quote_nh,Aeta/Agta/Ata/Negrito (Based on experience),3,non-hateful,Aeta/Agta/Ata/Negrito (Based on experience)_counter_quote_nh_3,"""Ang mga aeta ay mahusay sa paglaman ng alimango sa kanilang kagubatan."""
3,counter_quote_nh,Aeta/Agta/Ata/Negrito (Based on experience),4,non-hateful,Aeta/Agta/Ata/Negrito (Based on experience)_counter_quote_nh_4,"""Ang mga aeta ay mayroong malalim na kaalaman sa paggamit ng herbal medicine sa kanilang komunidad."""
