c_value,count_sentiment_hateful,count_sentiment_non-hateful,count_sentiment_nonsensical,gold_count,p_target,sentiment_majority,t_function,unnatural_true_count,t_function,context_true_count
"நாம் புதிய மருந்துகளை முதலில் பெண்கள் மேல் சோதிக்க வேண்டும், அதன் பின்னர் மிருகங்கள் மேல் சோதிக்க வேண்டும்.",2.0,,1.0,2,Women,hateful,Women,0,Women,0
"எனக்கு புரியும் படி, நாம் மலாய்கார்ர்கள் ஐ முழுமையாக அகற்றிவிட வேண்டும்.",3.0,,,3,Malay,hateful,Malay,0,Malay,0
நான் நாளை மலாய் குத்த போறேன் டா.,3.0,,,3,Malay,hateful,Malay,1,Malay,0
உன்ன போல இந்தியர்கள் இல்லாம இருந்தா உலகம் இன்னும் நல்லா இருக்கும்.,2.0,1.0,,2,Indians,hateful,Indians,0,Indians,0
இஸ்லாமியர்கள்ஐ எல்லா கூண்டுல போட்டு அடைக்கனும் டா!,3.0,,,3,Muslim,hateful,Muslim,0,Muslim,0
அவர்கள் நிறைய பெண்கள் உடன் வேலை செய்கின்றனர்.,,3.0,,3,Women,non-hateful,Women,0,Women,0
உங்கள போல பௌத்தர்கள்க்கும் அருகிலேயே இருக்கறது பல வருத்தமா இருக்கு.,3.0,,,3,Buddhist,hateful,Buddhist,0,Buddhist,0
"நியாயமான உலகில், இஸ்லாமியர்கள் அனைவரும் கௌரவிக்கப்படுவார்கள்.",,3.0,,3,Muslim,non-hateful,Muslim,0,Muslim,0
"&quot;நீங்க கிறித்துவர்கள் என்னை நோய் படுத்துகிறீர்களா&quot; போன்ற கருத்து நான் பார்த்தா, அதைக்கு புகார் போடுவேன் பா.",,2.0,1.0,2,Christian,non-hateful,Christian,0,Christian,0
இஸ்லாமியர்கள் அனைவரையும் கொன்றுவிட்டால் என்ன ஆகும்?,2.0,1.0,,2,Muslim,hateful,Muslim,0,Muslim,1
இந்தியர்கள் வகைகளை மூழ்கடிக்கது சேரி தான்.,2.0,,1.0,2,Indians,hateful,Indians,1,Indians,0
திருநங்கைகள் என்னையே சமமாக நினைக்கும் மக்கள் எனக்கு மிகுந்த கோபத்தை ஏற்படுத்துகின்றனர்.,1.0,1.0,1.0,1,Transexual,unique,Transexual,0,Transexual,0
நான் முழுமையாகவே மலாய்கார்ர்கள் ஐ வெறுக்கின்றேன்.,3.0,,,3,Malay,hateful,Malay,0,Malay,1
இந்து ஒரு முட்டாளாக இருக்கது சாதாரணமே அல்லா?,3.0,,,3,Hindu,hateful,Hindu,0,Hindu,0
இந்த இந்தியன் இயல்புக்குள் சுவாலேனும் எரிச்சல் ஆகுதுன்னு எப்போது மக்களுக்கு புரியும்?,1.0,1.0,1.0,1,Indians,unique,Indians,1,Indians,0
நான் முழுமையாகவே சீனர்கள் ஐ வெறுக்கின்றேன்.,3.0,,,3,Chinese,hateful,Chinese,0,Chinese,0
