Unnamed: 0,t_function,p_target,index,t_gold,c_perturb_id,c_perturb
0,counter_quote_nh,Buddhist,1,non-hateful,Buddhist_counter_quote_nh_1,"""These old buddhists always very conservative and close-minded leh."""
1,counter_quote_nh,Buddhist,2,non-hateful,Buddhist_counter_quote_nh_2,"""Dude, some buddhists can be super superficial and just follow rituals without understanding the deeper meaning."""
2,counter_quote_nh,Buddhist,3,non-hateful,Buddhist_counter_quote_nh_3,"""Buddhists always so kiasu want to get to temple early and get the good seats, no time to meditate or reflect."""
3,counter_quote_nh,Buddhist,4,non-hateful,Buddhist_counter_quote_nh_4,"""Buddhists like that la, always want to kiasu everything, no sense of community spirit."""
4,counter_quote_nh,Buddhist,5,non-hateful,Buddhist_counter_quote_nh_5,"""Dude, those Buddhist monks are so extra, always trying to be holier than thou, man."""
5,counter_quote_nh,Buddhist,6,non-hateful,Buddhist_counter_quote_nh_6,"""My god, my Buddhist neighbour always so kiasu, always trying to get the best parking spot, no consideration for others lah."""
6,counter_quote_nh,Buddhist,7,non-hateful,Buddhist_counter_quote_nh_7,"""Buddhists who do this kind of thing very very wrong ah"""
7,counter_quote_nh,Buddhist,8,non-hateful,Buddhist_counter_quote_nh_8,"""That's so uncool, man, Buddhists should be all about compassion and stuff"""
8,counter_quote_nh,Buddhist,9,non-hateful,Buddhist_counter_quote_nh_9,"""Aiyo, Buddhists like this one very very very bad, must get them to kena punish la"" "
9,counter_quote_nh,Buddhist,10,non-hateful,Buddhist_counter_quote_nh_10,"""Why you got so much hate for buddhists la, they just want to practice their religion in peace"""
10,counter_quote_nh,Buddhist,11,non-hateful,Buddhist_counter_quote_nh_11,"""I'm so tired of people generalising Buddhists as being super conservative"""
11,counter_quote_nh,Buddhist,12,non-hateful,Buddhist_counter_quote_nh_12,"""Dude, can't believe people still think Buddhists are just about chanting and being all zen all the time"" "
0,counter_quote_nh,Chinese,1,non-hateful,Chinese_counter_quote_nh_1,"""Why you always say Chinese people so stupid la, can't even think straight?"""
1,counter_quote_nh,Chinese,2,non-hateful,Chinese_counter_quote_nh_2,"""You think you can talk shit about Chinese people and get away with it, ah?"""
2,counter_quote_nh,Chinese,3,non-hateful,Chinese_counter_quote_nh_3,"""What's with the racist comments about Chinese people, lah?"""
3,counter_quote_nh,Chinese,4,non-hateful,Chinese_counter_quote_nh_4,"Ah Beng say Chinese no good, but he eat dim sum everyday lor."
