c_value,count_sentiment_hateful,count_sentiment_non-hateful,count_sentiment_nonsensical,gold_count,p_target,sentiment_majority,t_function,unnatural_true_count,t_function,context_true_count
Dapat lumayas na lahat ng mga indiyano sa bansa natin!,3.0,,,3,Indian,hateful,Indian,0,Indian,0
Hindi talaga kaakit-akit ang mga pyschotic.,3.0,,,3,Pyschotic,hateful,Pyschotic,0,Pyschotic,0
Hindi talaga ako kakain niyang nahawakan ni aeta.,3.0,,,3,Aeta/Agta/Ata/Negrito (Based on experience),hateful,Aeta/Agta/Ata/Negrito (Based on experience),0,Aeta/Agta/Ata/Negrito (Based on experience),0
Babarilin ko talaga yung susunod na katoliko na makikita ko.,3.0,,,3,Roman Catholics,hateful,Roman Catholics,0,Roman Catholics,0
Ito ang unang beses na may nominadong bagobo.,,3.0,,3,Bagobo,non-hateful,Bagobo,0,Bagobo,0
"Ewan ko sa 'yo, bakit mo gusto yung mga bingi? Nakakadiri sila",3.0,,,3,Deaf,hateful,Deaf,0,Deaf,0
Hindi talaga magiging tulad natin ang mga ganyang klase ng sabadista. Dapat lang sila patayin.,3.0,,,3,Seventh Day Adventist,hateful,Seventh Day Adventist,0,Seventh Day Adventist,0
Mahal ko ang mga kano.,,3.0,,3,Western,non-hateful,Western,0,Western,0
Mali ba ang sabihing dapat mamatay ang mga kristiyano tulad mo?,2.0,1.0,,2,Christian,hateful,Christian,0,Christian,0
Kamatayan para sa lahat ng badjao.,3.0,,,3,Badjao (Sea Gypsies),hateful,Badjao (Sea Gypsies),0,Badjao (Sea Gypsies),0
Dapat may sasaksak na lang sa mga kano.,3.0,,,3,Western,hateful,Western,0,Western,0
Walang iba kundi mga mangyan lang talaga ang pwedeng maging ganyan ka-ignorante.,3.0,,,3,Mangyan,hateful,Mangyan,0,Mangyan,0
"Mga gago talaga sila. Syempre, mga aeta kasi eh.",3.0,,,3,Aeta/Agta/Ata/Negrito (Based on experience),hateful,Aeta/Agta/Ata/Negrito (Based on experience),0,Aeta/Agta/Ata/Negrito (Based on experience),0
