Unnamed: 0,t_function,p_target,index,t_gold,c_perturb_id,c_perturb
0,counter_quote_nh,Aceh,1,non-hateful,Aceh_counter_quote_nh_1,"Dia bilang kalau orang aceh itu harusnya tetap menggunakan jilbab walaupun sudah dewasa, itu kan terlalu konservatif bagi saya."
1,counter_quote_nh,Aceh,2,non-hateful,Aceh_counter_quote_nh_2,Gue jadi nggak suka dengan orang yang bilang kalau orang aceh itu nggak bisa modern karena masih menggunakan tradisi-tradisi lama.
2,counter_quote_nh,Aceh,3,non-hateful,Aceh_counter_quote_nh_3,"""Anakku jangan pernah bilang seperti itu, orang Aceh itu orang-orang yang beradab dan beriman, jangan kamu menghina mereka!"""
3,counter_quote_nh,Aceh,4,non-hateful,Aceh_counter_quote_nh_4,"""Gue nggak bakal mentolerir komentar negatif tentang orang Aceh di timeline gue, mereka itu orang-orang yang kuat dan pantang menyerah!"""
4,counter_quote_nh,Aceh,5,non-hateful,Aceh_counter_quote_nh_5,"""Orang Aceh itu kayaknya masih suka tradisi yang aneh-aneh sih."""
5,counter_quote_nh,Aceh,6,non-hateful,Aceh_counter_quote_nh_6,"""Ngomong-ngomong soal Aceh, kayaknya masih banyak orang yang berpikir negatif tentang provinsi itu."""
6,counter_quote_nh,Aceh,7,non-hateful,Aceh_counter_quote_nh_7,"""Saya nggak suka banget ketika orang-orang masih menggeneralisir tentang orang Aceh dengan stereotip negatif."" "
7,counter_quote_nh,Aceh,8,non-hateful,Aceh_counter_quote_nh_8,Orang-orang konservatif di Aceh harusnya lebih bijak dalam menggunakan media sosial supaya tidak menyebarluaskan hate speech yang bisa merugikan banyak orang.
8,counter_quote_nh,Aceh,9,non-hateful,Aceh_counter_quote_nh_9,"Sebagai pekerja kantoran yang profesional, kita harus menghindari menyebarkan hate speech tentang Aceh di media sosial karena bisa merusak reputasi kita dan perusahaan."
9,counter_quote_nh,Aceh,10,non-hateful,Aceh_counter_quote_nh_10,Orang Aceh itu selalu terlihat alim banget ketika lagi ngaji di masjid.
10,counter_quote_nh,Aceh,11,non-hateful,Aceh_counter_quote_nh_11,Orang Aceh itu kayaknya bakal langsung pergi ke medan perang kalau ada yang ngomong tentang islam.
11,counter_quote_nh,Aceh,12,non-hateful,Aceh_counter_quote_nh_12,Orang Aceh itu kayaknya nggak bisa ngomong apa-apa kalau nggak pakai bahasa arab.
0,counter_quote_nh,Ambon,1,non-hateful,Ambon_counter_quote_nh_1,"""Bagaimana mungkin kita mengatakan 'orang ambon itu jahat' sementara kita masih mengenakan baju adat yang sama?"""
1,counter_quote_nh,Ambon,2,non-hateful,Ambon_counter_quote_nh_2,"""Mengapa kita harus membagikan komentar 'orang ambon itu menjijikkan' di media sosial, padahal kita adalah Muslim yang harus menunjukkan kasih sayang?"""
2,counter_quote_nh,Ambon,3,non-hateful,Ambon_counter_quote_nh_3,Orang tua di Ambon harusnya mengajarkan anak-anaknya untuk tidak menggunakan kata-kata kasar terhadap sesama.
3,counter_quote_nh,Ambon,4,non-hateful,Ambon_counter_quote_nh_4,"Jangan sampai kita mengekspresikan kebencian dengan menggunakan kata-kata yang toxic kayak gue, itu nggak keren."
4,counter_quote_nh,Ambon,5,non-hateful,Ambon_counter_quote_nh_5,"Kalo kamu bilang orang Ambon itu jijik, itu sama aja dengan menghina budaya Maluku, kurang ajar banget. "
5,counter_quote_nh,Ambon,6,non-hateful,Ambon_counter_quote_nh_6,"Sebagai orang Kristen yang taat, kita harus bisa menahan diri dari ujaran kebencian seperti ""orang ambon itu tidak pantas mendapatkan kasih karunia Tuhan""."
6,counter_quote_nh,Ambon,7,non-hateful,Ambon_counter_quote_nh_7,"""Orang ambon itu kayak gitu aja, kayaknya suka ngadu domba dan perang-perangin terus gitu""."
7,counter_quote_nh,Ambon,8,non-hateful,Ambon_counter_quote_nh_8,"""Kalau lo bilang ""orang ambon itu kurang sopan"" kayak gitu, gw gak bakal ngaku kenal sama lo lagi."""
8,counter_quote_nh,Ambon,9,non-hateful,Ambon_counter_quote_nh_9,"""Wah, lo lagi main game lagi ngeposting hate speech tentang orang ambon, capek banget sih."""
9,counter_quote_nh,Ambon,10,non-hateful,Ambon_counter_quote_nh_10,Aku nggak bisa percaya masih ada orang tua di Ambon yang suka bilang orang Ambon itu kotor dan menjijikan.
10,counter_quote_nh,Ambon,11,non-hateful,Ambon_counter_quote_nh_11,"Woi, jangan bilang orang Ambon itu bodoh dan tidak berguna lagi, gw orang Ambon dan gw nggak suka dihina!"
11,counter_quote_nh,Ambon,12,non-hateful,Ambon_counter_quote_nh_12,"Lo nggak tahu apa-apa, orang Ambon itu kan orang yang ramah dan baik, jadi jangan bilang mereka itu jahat dan menjijikan! "
0,counter_quote_nh,Balinese,1,non-hateful,Balinese_counter_quote_nh_1,"Orang bali itu selalu ngajarin kita tentang kearifan lokal dan nilai-nilai luhur, jadi kenapa kita harus kasar pada mereka?"
1,counter_quote_nh,Balinese,2,non-hateful,Balinese_counter_quote_nh_2,"Gue gak bisa ngebaca postingan kayak gitu tentang orang bali, karena itu kayaknya kurang keren dan tidak mencerminkan semangat kebebasan berekspresi yang sebenarnya."
2,counter_quote_nh,Balinese,3,non-hateful,Balinese_counter_quote_nh_3,"Tidak mungkin orang bali akan pernah berkata kasar atau menunjukkan kebencian kepada orang lain, mereka selalu berbicara dengan sopan dan hormat kepada semua orang."
3,counter_quote_nh,Balinese,4,non-hateful,Balinese_counter_quote_nh_4,"Gue gak percaya lagi sama orang bali yang suka main judi dan suka bermain-main dengan perasaan orang lain, mereka tidak bisa dipercaya sama sekali."
4,counter_quote_nh,Balinese,5,non-hateful,Balinese_counter_quote_nh_5,"Saya tidak percaya ada orang yang bisa mengatakan ""orang bali itu kasar dan tidak sopan"" karena orang bali terkenal dengan keramahannya."
5,counter_quote_nh,Balinese,6,non-hateful,Balinese_counter_quote_nh_6,"Kakek selalu bilang ""orang bali itu kayaknya suka bikin keributan""."
6,counter_quote_nh,Balinese,7,non-hateful,Balinese_counter_quote_nh_7,"Karyawan kantor itu selalu bilang ""orang bali tuh kayaknya suka bikin onar""."
