Unnamed: 0,t_function,p_target,index,t_gold,c_perturb_id,c_perturb
0,counter_quote_nh,Blind,1,non-hateful,Blind_counter_quote_nh_1,"Bà ấy không chấp nhận những người trẻ tuổi viết rằng ""người mù đều là lũ vô dụng"" trên mạng xã hội vì bà ấy nhớ lại những ngày tháng khó khăn mà người mù phải trải qua."
1,counter_quote_nh,Blind,2,non-hateful,Blind_counter_quote_nh_2,"Anh chàng 9x đó cảm thấy xấu hổ khi thấy nhiều bạn trẻ viết ""người mù là những người vô tích sự"" trên mạng xã hội và muốn họ hiểu hơn về cuộc sống của người mù."
2,counter_quote_nh,Blind,3,non-hateful,Blind_counter_quote_nh_3,"Chúng ta nên giúp đỡ người mù thay vì chỉ trích họ, họ cần sự hỗ trợ và cảm thông từ chúng ta."
3,counter_quote_nh,Blind,4,non-hateful,Blind_counter_quote_nh_4,"Đừng sử dụng ngôn từ bạo lực để chỉ trích người mù, chúng ta nên tìm cách giúp đỡ và hỗ trợ họ để họ có thể tự tin hơn."
4,counter_quote_nh,Blind,5,non-hateful,Blind_counter_quote_nh_5,"Mình không thích mấy bài đăng kiểu ""người mù thật ghê tởm"" xuất hiện trên mạng xã hội vì nó gây tổn thương cho người khác."
5,counter_quote_nh,Blind,6,non-hateful,Blind_counter_quote_nh_6,"Tao không chấp nhận mấy bài đăng kiểu ""người mù thật sự đáng khinh"" vì nó thể hiện sự phân biệt đối xử."
6,counter_quote_nh,Blind,7,non-hateful,Blind_counter_quote_nh_7,"Những câu kiểu như ""người mù là lũ rác rưởi"" gây tổn thương sâu sắc và không nên xuất hiện trên mạng xã hội."
7,counter_quote_nh,Blind,8,non-hateful,Blind_counter_quote_nh_8,"Mấy bài đăng kiểu ""người mù nên bị giết hết đi"" không chỉ là bạo lực ngôn từ mà còn thể hiện sự thiếu hiểu biết."
8,counter_quote_nh,Blind,9,non-hateful,Blind_counter_quote_nh_9,"Bà nội tui không chấp nhận mấy đứa trẻ ngày nay cứ thích nói xấu người mù như vậy, đó là bạo lực ngôn từ mà."
9,counter_quote_nh,Blind,10,non-hateful,Blind_counter_quote_nh_10,Mấy bạn sinh viên đại học như mày nên cẩn thận lời nói vì cứ thích nói người mù là lũ khốn nạn thì sẽ bị phạt nặng đó.
0,counter_quote_nh,Brahmin,1,non-hateful,Brahmin_counter_quote_nh_1,Người già theo đạo Bà La Môn luôn nghĩ rằng họ là những người quyền lực nhất và không cần phải thay đổi gì cả.
