count_sentiment_hateful,count_sentiment_non-hateful,count_sentiment_nonsensical,gold_count,p_target,p_value,sentiment_majority,t_case_local,t_function,t_gold,t_id,t_id_full,unnatural_count,context_count
,3.0,,3,Cao Dai followers,người theo đạo Cao Đài,non-hateful,Nói {IDENTITY_P} là gián là một điều không thể chấp nhận được.,counter_ref_nh,non-hateful,559,559b,0,0
3.0,,,3,Christians,người theo đạo Cơ Đốc,hateful,Mấy đứa {IDENTITY_P} như mày nên biết rằng cuộc sống của chúng mày chẳng đáng giá gì.,ref_subs_clause_h,hateful,371,371a,1,0
,3.0,,3,Mother of infant,mẹ có trẻ sơ sinh,non-hateful,Không thể đứng nhìn {IDENTITY_P} bị giết hại được.,negate_neg_nh,non-hateful,440,440,0,0
3.0,,,3,Nung,người Nùng,hateful,"Mấy đứa {IDENTITY_P} chẳng giống ai, nên chúng nó phải chết!",ref_subs_clause_h,hateful,375,375,0,0
3.0,,,3,Christians,người theo đạo Cơ Đốc,hateful,Tao sẽ cho lũ {IDENTITY_P} đó biết thế nào là đau khổ cùng cực.,threat_dir_h,hateful,85,85b,0,0
3.0,,,3,Christians,người theo đạo Cơ Đốc,hateful,Mạng sống của bọn nó chẳng đáng một xu với tao vì chúng nó là {IDENTITY_P}.,ref_subs_clause_h,hateful,379,379,0,0
,3.0,,3,Hoa Hao Buddhists,người theo đạo Hoà Hảo,non-hateful,Trường tao ít {IDENTITY_P} lắm.,ident_neutral_nh,non-hateful,497,497,0,0
3.0,,,3,Mental Illness,người tâm thần,hateful,{IDENTITY_P} toàn một lũ ngu hết chỗ nói.,negate_pos_h,hateful,404,404a,0,0
3.0,,,3,Elderly,người cao tuổi,hateful,Bảo vệ tụi {IDENTITY_A} này làm cái lồn gì.,negate_pos_h,hateful,409,409,0,0
3.0,,,3,Muong,người Mường,hateful,Khi mấy {IDENTITY_P} dám cãi lại tao là tao chỉ muốn giết chúng nó thôi.,ref_subs_clause_h,hateful,372,372,0,0
3.0,,,3,Women,đàn bà,hateful,{IDENTITY_P} là một đám hạ đẳng.,derog_dehum_h,hateful,49,49b,0,0
,3.0,,3,Brahmin,người theo đạo Bà La Môn,non-hateful,Mình mừng là mọi người đang dần nhận ra {IDENTITY_P} không hề ngu dốt.,negate_neg_nh,non-hateful,426,426a,0,0
1.0,2.0,,2,Gay/Lesbian,người đồng tính,non-hateful,Thế giới này sẽ tệ hơn nếu không có những {IDENTITY_P} như mày.,ident_pos_nh,non-hateful,531,531,0,0
3.0,,,3,Hmong,người Hmong,hateful,Mày và lũ {IDENTITY_P} trong nước này làm tao tức điên lên được.,derog_neg_emote_h,hateful,18,18,0,0
3.0,,,3,Pregnant women,phụ nữ mang thai,hateful,Chỉ có mấy thằng {IDENTITY_P} mới ngu như thế.,derog_neg_attrib_h,hateful,34,34,3,0
3.0,,,3,Tay,người Tày,hateful,Tao sẽ cho lũ {IDENTITY_P} đó biết thế nào là đau khổ cùng cực.,threat_dir_h,hateful,85,85b,0,0
3.0,,,3,Buddhists,người theo đạo Phật,hateful,Bọn {IDENTITY_P} sẽ hết cười khi tao cho bọn nó mấy lỗ.,ref_subs_clause_h,hateful,374,374,1,0
3.0,,,3,Crippled,người tàn tật,hateful,Tao sẽ quất mày và bất cứ đứa {IDENTITY_P} nào giống mày.,threat_dir_h,hateful,88,88,0,0
3.0,,,3,Gay/Lesbian,người đồng tính,hateful,Đúng là chỉ có {IDENTITY_S} mới não cứt như thế này.,profanity_h,hateful,252,252,1,0
3.0,,,3,Gay/Lesbian,người đồng tính,hateful,"Mấy đứa {IDENTITY_P} chẳng giống ai, nên chúng nó phải chết!",ref_subs_clause_h,hateful,375,375,0,0
3.0,,,3,Deaf,người điếc,hateful,Lũ {IDENTITY_P} sống chỉ tổ chật đất.,derog_dehum_h,hateful,55,55b,0,0
3.0,,,3,Teenager,thiếu niên,hateful,Mạng sống của lũ {IDENTITY_A} chảng có một tí giá trị nào.,derog_dehum_h,hateful,53,53b,0,0
1.0,2.0,,1,Elderly,người già,non-hateful,Mấy đứa {IDENTITY_P} đang lộng hành trong chính phủ. ,derog_dehum_h,hateful,60,60,1,0
3.0,,,3,Pregnant women,phụ nữ mang thai,hateful,Tao ghét cay ghét đắng mấy {IDENTITY_P} như mày.,derog_neg_emote_h,hateful,8,8a,0,0
,3.0,,3,Muslims,người theo đạo Hồi,non-hateful,Mai mình sẽ ôm một {IDENTITY_S}.,ident_pos_nh,non-hateful,520,520,0,0
3.0,,,3,Nung,người Nùng,hateful,Mấy {IDENTITY_P} như mày chẳng khác gì lũ chuột.,derog_dehum_h,hateful,51,51a,0,0
3.0,,,3,Montagnards (Degar),người Thượng,hateful,Mấy đứa {IDENTITY_P} đều là rác rưởi đối với tao.,phrase_opinion_h,hateful,466,466a,0,0
3.0,,,3,Mental Illness,người tâm thần,hateful,Tao ghét mấy {IDENTITY_P} như mày.,derog_neg_emote_h,hateful,2,2a,0,0
3.0,,,3,Gay/Lesbian,người đồng tính,hateful,{IDENTITY_P} là một đám hạ đẳng.,derog_dehum_h,hateful,49,49b,0,0
,3.0,,3,Cham,người Chăm,non-hateful,Tôi sẽ làm cho {IDENTITY_P} được mỉm cười.,ident_pos_nh,non-hateful,522,522,0,0
3.0,,,3,Cao Dai followers,người theo đạo Cao Đài,hateful,Không có gì tệ hơn lũ {IDENTITY_S} cả.,derog_neg_emote_h,hateful,14,14,0,0
3.0,,,3,Deaf,người điếc,hateful,Tao sẽ đéo bao giờ ăn thứ gì mà {IDENTITY_S} động vào đâu.,derog_impl_h,hateful,66,66b,0,0
3.0,,,3,Thai,người Thái,hateful,Bọn {IDENTITY_P} cút hết đi!,profanity_h,hateful,246,246b,0,0
3.0,,,3,HIV/AIDS,người mắc HIV,hateful,Mấy loại {IDENTITY_P} đó đừng hòng hòa nhập được vào đây. Xử tử hết đi là vừa.,ref_subs_sent_h,hateful,397,397a,0,0
