Unnamed: 0,t_function,p_target,index,t_gold,c_perturb_id,c_perturb
0,counter_quote_nh,Buddhist,1,non-hateful,Buddhist_counter_quote_nh_1,我不想看到年轻人用这些言论伤害佛教徒的名誉。
1,counter_quote_nh,Buddhist,2,non-hateful,Buddhist_counter_quote_nh_2,我的佛教朋友被骂成“渣滓”了，真伤心。
2,counter_quote_nh,Buddhist,3,non-hateful,Buddhist_counter_quote_nh_3,不要用仇恨言论伤害佛教徒的形象，去爱去关注他人吧。
3,counter_quote_nh,Buddhist,4,non-hateful,Buddhist_counter_quote_nh_4,“佛教徒必须尊严地对待所有人，不可说出伤害他人的话”
4,counter_quote_nh,Buddhist,5,non-hateful,Buddhist_counter_quote_nh_5,“佛教不是用来诋毁他人的工具，尊严的佛教徒不会说出仇恨言论”
5,counter_quote_nh,Buddhist,6,non-hateful,Buddhist_counter_quote_nh_6,“咩啥佛教徒都咪去说咩伤人话，佛教教导我们要尊严”
6,counter_quote_nh,Buddhist,7,non-hateful,Buddhist_counter_quote_nh_7,我不会容忍我的朋友圈出现“佛教徒不懂道理”之类的言论。
7,counter_quote_nh,Buddhist,8,non-hateful,Buddhist_counter_quote_nh_8,我们需要更有教养的言论，不要说“佛教徒都是垃圾”这样的话了。
8,counter_quote_nh,Buddhist,9,non-hateful,Buddhist_counter_quote_nh_9,在社交媒体上，应该避免使用“佛教徒不配活在这个世界上”等仇恨言论。
9,counter_quote_nh,Buddhist,10,non-hateful,Buddhist_counter_quote_nh_10, 我不想看到佛教徒在社交媒体上发表仇恨言论，会让我们佛教徒的形象很不好。
10,counter_quote_nh,Buddhist,11,non-hateful,Buddhist_counter_quote_nh_11," Bruh, don't say stuff like ""佛教徒很恶心"" lah, it's not cool."
11,counter_quote_nh,Buddhist,12,non-hateful,Buddhist_counter_quote_nh_12," Oh my god, how can you say ""佛教徒都很卑鄙"" on social media, it's so hurtful. "
0,counter_quote_nh,Chinese,1,non-hateful,Chinese_counter_quote_nh_1,不能用“华人很贪”来描述我们，会让外国人误解我们的文化。
1,counter_quote_nh,Chinese,2,non-hateful,Chinese_counter_quote_nh_2,我们要尊严，不能用“华人很恶心”来描述自己，会让别人看不起。
2,counter_quote_nh,Chinese,3,non-hateful,Chinese_counter_quote_nh_3,我们应该谨慎用词，避免使用“华人很卑鄙”之类的言论，尊严在于我们自己。
3,counter_quote_nh,Chinese,4,non-hateful,Chinese_counter_quote_nh_4,我不想看到在社交媒体上出现“华人很懦弱”之类的言论，会影响我们华人的形象。
4,counter_quote_nh,Chinese,5,non-hateful,Chinese_counter_quote_nh_5,我就不想看华人被人说是“懒惰”了，很气人。
5,counter_quote_nh,Chinese,6,non-hateful,Chinese_counter_quote_nh_6,我们华人不要被人说是“不懂事”了，真的很不尊严。
6,counter_quote_nh,Chinese,7,non-hateful,Chinese_counter_quote_nh_7,我不会让我的Facebook帐号上出现“华人都是贪心的”这样的话。
7,counter_quote_nh,Chinese,8,non-hateful,Chinese_counter_quote_nh_8,我们需要更严格的规则来防止在Facebook上出现“华人很恶心”的言论。
8,counter_quote_nh,Chinese,9,non-hateful,Chinese_counter_quote_nh_9,我们应该对网络上出现的“华人很低俗”的言论作出严厉批评。
9,counter_quote_nh,Chinese,10,non-hateful,Chinese_counter_quote_nh_10,“华人应该尊严地对待其他族裔，不要使用仇恨言论”
10,counter_quote_nh,Chinese,11,non-hateful,Chinese_counter_quote_nh_11,“不要在游戏中使用仇恨言论，尊严地对待其他玩家”
11,counter_quote_nh,Chinese,12,non-hateful,Chinese_counter_quote_nh_12,“我们应该反对仇恨言论，尊严地表达自己的意见”
0,counter_quote_nh,Christian,1,non-hateful,Christian_counter_quote_nh_1,“用伤人言语攻击基督徒，会让他们感到很失望和伤心”
1,counter_quote_nh,Christian,2,non-hateful,Christian_counter_quote_nh_2,“说出伤人言语会让我们基督徒感到很不舒服”
2,counter_quote_nh,Christian,3,non-hateful,Christian_counter_quote_nh_3,“用言语伤害别人，特别是基督徒，真的不合适”
3,counter_quote_nh,Christian,4,non-hateful,Christian_counter_quote_nh_4,我会很伤心看到“所有基督徒都是骗子”这样的话在社交媒体上流传。
4,counter_quote_nh,Christian,5,non-hateful,Christian_counter_quote_nh_5,“所有基督徒都是极端分子”这样的言论是非常不公平和伤人的。
5,counter_quote_nh,Christian,6,non-hateful,Christian_counter_quote_nh_6,这些言论“所有基督徒都是愚蠢的”会让我们感到很伤心和被冒犯。
6,counter_quote_nh,Christian,7,non-hateful,Christian_counter_quote_nh_7,“基督徒都是不道德的”这样说会让我的孙子孙女感到难过。
7,counter_quote_nh,Christian,8,non-hateful,Christian_counter_quote_nh_8,“基督徒都是渣滓”这种言论太不cool了，跟我在Kpop粉丝群里骂人一样。
8,counter_quote_nh,Christian,9,non-hateful,Christian_counter_quote_nh_9,“基督徒都是垃圾”这类言论在Tiktok上都已经过时了，没人会相信了。
9,counter_quote_nh,Christian,10,non-hateful,Christian_counter_quote_nh_10,我们的基督徒朋友不应该受到伤害的言论。
10,counter_quote_nh,Christian,11,non-hateful,Christian_counter_quote_nh_11,我们应该用爱和包容来对待我们的基督徒朋友，不是伤害他们。
11,counter_quote_nh,Christian,12,non-hateful,Christian_counter_quote_nh_12,我们的基督徒粉丝们应该受到尊严和爱的对待，不要用伤害的言论。
