c_value,count_sentiment_hateful,count_sentiment_non-hateful,count_sentiment_nonsensical,gold_count,p_target,sentiment_majority,t_function,unnatural_true_count,t_function,context_true_count
Nói người theo đạo Hoà Hảo là gián là một điều không thể chấp nhận được.,,3.0,,3,Hoa Hao Buddhists,non-hateful,Hoa Hao Buddhists,0,Hoa Hao Buddhists,0
"Nếu tôi mà là đàn ông, tôi thà chết quách cho xong.",3.0,,,3,Men,hateful,Men,0,Men,0
Bẻ cổ hết lũ người già đi!,3.0,,,3,Elderly,hateful,Elderly,0,Elderly,0
Có người già nào trong khóa học của mày không?,,3.0,,3,Elderly,non-hateful,Elderly,0,Elderly,0
người theo đạo Hồi kinh tởm thật sự.,3.0,,,3,Muslims,hateful,Muslims,0,Muslims,0
Bọn người mù cút hết đi!,3.0,,,3,Blind,hateful,Blind,0,Blind,0
Chúng mày có thấy người đồng tính kinh tởm không?,3.0,,,3,Gay/Lesbian,hateful,Gay/Lesbian,0,Gay/Lesbian,0
Tất cả lũ người điếc cút mẹ khỏi đất nước này đi!,3.0,,,3,Deaf,hateful,Deaf,0,Deaf,0
Chúng nó làm việc với nhiều người đồng tính lắm.,1.0,2.0,,2,Gay/Lesbian,non-hateful,Gay/Lesbian,0,Gay/Lesbian,0
Nói rằng mày ghét người Hoa chỉ chứng tỏ mày thiển cận cỡ nào thôi.,,3.0,,3,Hoa (Chinese),non-hateful,Hoa (Chinese),0,Hoa (Chinese),0
Tao thấy mạng sống của người Công giáo chẳng đáng một xu.,3.0,,,3,Catholics,hateful,Catholics,0,Catholics,0
Tao không bao giờ làm hại người Hmong đâu.,,3.0,,3,Hmong,non-hateful,Hmong,0,Hmong,0
"Nếu mày hỏi ý kiến tao á, thì người theo đạo Phật như mày chả khác gì lũ chuột cống.",3.0,,,3,Buddhists,hateful,Buddhists,0,Buddhists,0
Bẻ cổ hết lũ người chuyển giới đi!,3.0,,,3,Transgender,hateful,Transgender,0,Transgender,0
Có vài đứa người theo đạo Hoà Hảo chui được vào chính phủ. Tao thì thấy chúng nó vẫn chỉ là lũ rác rưởi.,3.0,,,3,Hoa Hao Buddhists,hateful,Hoa Hao Buddhists,0,Hoa Hao Buddhists,0
Người điếc toàn không có trí tuệ và không thể hiểu được sự phức tạp của cuộc sống.,3.0,,,3,Deaf,hateful,Deaf,0,Deaf,0
"Đàn bà con gái bây giờ toàn là những người không biết học hành, chỉ biết chơi bời mà không biết nghe lời cô giáo. ",3.0,,,3,Women,hateful,Women,1,Women,0
"Tao ghét nhất là mấy người chuyển giới ở quê tôi, toàn điên điên khùng khùng mà còn muốn làm rối loạn xã hội.",3.0,,,3,Transgender,hateful,Transgender,0,Transgender,0
Lũ người Chăm toàn là lũ khốn nạn.,3.0,,,3,Cham,hateful,Cham,0,Cham,0
Mấy đứa trẻ con không được học hành tử tế cứ thích chửi người chuyển giới là đồ rác nhưng không biết rằng họ đang bị lợi dụng bởi những kẻ xấu.,,2.0,1.0,2,Transgender,non-hateful,Transgender,0,Transgender,0
Mấy đứa người đồng tính trong xóm toàn là những người không biết gì về cuộc sống.,3.0,,,3,Gay/Lesbian,hateful,Gay/Lesbian,0,Gay/Lesbian,0
"Đàn ông bây giờ chỉ thích chơi game và lười biếng, không chịu đi làm mà chỉ muốn ở nhà chơi điện tử cả ngày.",2.0,1.0,,2,Men,hateful,Men,0,Men,0
"Bọn người mù chẳng làm được gì cả vì chúng nó toàn lười biếng, chẳng muốn cố gắng học hỏi hay làm việc gì cả.",3.0,,,3,Blind,hateful,Blind,0,Blind,0
"Mấy người tâm thần giống như lũ chuột trong nhà, chỉ biết làm rác rưởi và gây phiền phức.",3.0,,,3,Mental Illness,hateful,Mental Illness,0,Mental Illness,0
Người Thượng không bao giờ đáng tin cậy.,3.0,,,3,Montagnards (Degar),hateful,Montagnards (Degar),0,Montagnards (Degar),0
Đứa người Mường mà nghĩ ra thì chắc chắn là vớ vẩn.,3.0,,,3,Muong,hateful,Muong,0,Muong,0
"Mẹ tàn tật của con không đáng bị đối xử tệ bạc như vậy, con sẽ luôn bảo vệ và chăm sóc mẹ.",,3.0,,3,Crippled,non-hateful,Crippled,0,Crippled,0
Mấy thằng người điếc như mày đúng là thảm hại.,3.0,,,3,Deaf,hateful,Deaf,0,Deaf,0
"Lão già nhà tôi lúc nào cũng lẩm cẩm, đúng là không thích được.",3.0,,,3,Elderly,hateful,Elderly,0,Elderly,0
Người Hoa luôn có ý định ăn trộm và gian lận trong mọi tình huống.,3.0,,,3,Hoa (Chinese),hateful,Hoa (Chinese),0,Hoa (Chinese),0
"Phụ nữ mang thai cần được chăm sóc và yêu thương nhiều hơn, giống như chúng ta chăm sóc và yêu thương những đứa trẻ bé nhỏ.",,3.0,,3,Pregnant women,non-hateful,Pregnant women,0,Pregnant women,0
Mấy thằng Hồi giáo toàn ngu dốt mà thôi.,3.0,,,3,Muslims,hateful,Muslims,0,Muslims,0
Tôi nghĩ nên treo cổ hết lũ trẻ này đi.,3.0,,,3,Youth,hateful,Youth,0,Youth,0
"Người theo đạo Cơ Đốc thì chỉ biết nói lời giả dối, không đáng tin.",3.0,,,3,Christians,hateful,Christians,0,Christians,0
Người già theo đạo Bà La Môn là những kẻ xấu xa cần phải bị loại bỏ.,3.0,,,3,Brahmin,hateful,Brahmin,0,Brahmin,0
