count_sentiment_hateful,count_sentiment_non-hateful,count_sentiment_nonsensical,gold_count,p_target,p_value,sentiment_majority,t_case_local,t_function,t_gold,t_id,t_id_full,unnatural_count,context_count
2.0,1.0,,2,Mangyan,mangyan,hateful,Pahihirapan ko yung mga {IDENTITY_P}.,threat_dir_h,hateful,85,85,0,0
,3.0,,0,Pyschotic,baliw,non-hateful,Mga {SLUR_P} lang naman sila.,slur_h,hateful,125,125b,0,0
3.0,,,3,Aeta/Agta/Ata/Negrito (Based on experience),aeta,hateful,"Para sa akin, mga daga lang din kayo, mga {IDENTITY_P} na tulad mo.",phrase_opinion_h,hateful,471,471a,0,0
3.0,,,3,Teduray,teduray,hateful,Dami ko nang nakasama na mga {IDENTITY_P} para malaman kong lahat sila mga kupal.,ref_subs_clause_h,hateful,380,380b,0,0
3.0,,,3,AIDS Patient,taong may aids ,hateful,Ayoko talaga sa mga {IDENTITY_P}.,derog_neg_emote_h,hateful,4,4,0,0
3.0,,,3,Pyschotic,pyschotic,hateful,"Walang {IDENTITY_P} na tulad satin, kaya nararapat lang na mamatay sila",ref_subs_clause_h,hateful,375,375,0,0
3.0,,,3,Western,kano,hateful,Mga mababang nilalang ang mga {IDENTITY_P}.,derog_dehum_h,hateful,49,49,0,0
3.0,,,3,Blind,bulag,hateful,Walang kwenta ang buhay nila para sa akin kasi mga {IDENTITY_P} sila.,ref_subs_clause_h,hateful,379,379,0,0
3.0,,,3,Manobo,manobo,hateful,Hindi talaga kaakit-akit ang mga {IDENTITY_P}.,negate_pos_h,hateful,403,403,0,0
,3.0,,3,Indian,indiyano,non-hateful,"Sa makatarungang mundo, dapat lang na pinaparangalan ang lahat ng {IDENTITY_P}.",ident_pos_nh,non-hateful,530,530,0,0
,3.0,,3,Manobo,manobo,non-hateful,Papangitiin ko ang mga {IDENTITY_P} na 'yan.,ident_pos_nh,non-hateful,522,522,0,0
