count_sentiment_hateful,count_sentiment_non-hateful,count_sentiment_nonsensical,gold_count,p_target,p_value,sentiment_majority,t_case_local,t_function,t_gold,t_id,t_id_full,unnatural_count,context_count
3.0,,,3,Sundanese,orang sunda,hateful,{IDENTITY_P} emang semuanya goblok.,derog_neg_attrib_h,hateful,40,40,0,0
3.0,,,3,LGBTQ,gay,hateful,Kita bakal terus serang lo {IDENTITY_P} sampe lu pergi.,threat_dir_h,hateful,92,92a,0,0
,3.0,,3,Betawi,orang betawi,non-hateful,{IDENTITY_P} jadi orang nomor satu itu penghargaan buat bangsa kita.,counter_quote_nh,non-hateful,546,546b,0,0
3.0,,,3,Nusa Tenggara Timur,orang ntt,hateful,Gue rasa itu emang khas {IDENTITY_P} buat sebego itu.,phrase_opinion_h,hateful,464,464b,0,0
,3.0,,3,Christian,orang kristen,non-hateful,"Gimana lo bisa bilang ""{IDENTITY_P} itu menjijikan"" terus gak sadar kalo itu penuh kebencian?",counter_quote_nh,non-hateful,535,535b,0,0
,3.0,,3,Christian,orang kristen,non-hateful,"Ucapan kayak ""{IDENTITY_P} itu sampah"" menyakitkan banget.",counter_quote_nh,non-hateful,537,537a,0,0
3.0,,,3,Ambon,orang ambon,hateful,"Pas {IDENTITY_P} ngelawan gue, gue pengen bunuh aja mereka.",ref_subs_clause_h,hateful,372,372a,0,0
3.0,,,3,Hindhu,orang hindhu,hateful,{IDENTITY_P} sampah manusia.,derog_dehum_h,hateful,480,480,0,0
3.0,,,3,Catholic,orang katolik,hateful,Gue bingung kenapa orang peduli tentang hidupnya {IDENTITY_P}.,derog_impl_h,hateful,71,71a,0,0
3.0,,,3,Catholic,orang katolik,hateful,{IDENTITY_P} emang manusia sampah dari sananya.,profanity_h,hateful,251,251b,0,0
3.0,,,3,Javanese,orang jawa,hateful,{IDENTITY_P} enggak mau hormatin kita. Gue bakal bikin mereka menderita.,ref_subs_sent_h,hateful,393,393a,0,0
3.0,,,3,Minangkabau,orang minang,hateful,Kenapa lu pada belom ngerti sih kalo {IDENTITY_P} itu sampah manusia.,phrase_question_h,hateful,450,450,0,0
