c_value,count_sentiment_hateful,count_sentiment_non-hateful,count_sentiment_nonsensical,gold_count,p_target,sentiment_majority,t_function,unnatural_true_count,t_function,context_true_count
ก็พวกเด็กผู้ชายมันโง่แบบนี้เป็นปกติอยู่แล้วนิ,3.0,,,3,boy,hateful,boy,0,boy,0
กุหมั่นใส้แรงงานต่างด้าวชห,3.0,,,3,migrant workers,hateful,migrant workers,0,migrant workers,0
อีพวกผู้สูงอายุเป็นขยะสังคม,3.0,,,3,elderly,hateful,elderly,0,elderly,0
พวกคนเขมรมันเป็นพวกสัตว์ชั้นต่ำ,3.0,,,3,Cambodians,hateful,Cambodians,0,Cambodians,0
แรงงานต่างด้าว พวกนี้มันเข้ากับสังคมไม่ได้หรอก ควรโดนประหารให้หมด,3.0,,,3,migrant workers,hateful,migrant workers,0,migrant workers,0
เราควรเคารพคนเขมร นะ,,3.0,,3,Cambodians,non-hateful,Cambodians,0,Cambodians,0
พวกเด็กผู้ชายไปตายซะเถอะ,3.0,,,3,boy,hateful,boy,0,boy,0
กุเกลียดพวกคนเขมรมากๆ,3.0,,,3,Cambodians,hateful,Cambodians,0,Cambodians,0
เด็กผู้หญิง คงคิดว่ามันพิเศษกว่าคนอื่น กุเกลียดคนแบบนี้ชิบหาย,3.0,,,3,girl,hateful,girl,0,girl,0
ไอสัด คนกรุงจะต้องตายด้วยความทรมาณจากมือของกุ,3.0,,,3,Thai-Central,hateful,Thai-Central,0,Thai-Central,0
ไอพวกผู้ชายไม่ควรมีที่ยืนในประเทศที่เจริญแล้วแบบนี้,3.0,,,3,male,hateful,male,0,male,0
ไม่มีทางที่กุจะยื่นมือไปช่วยชีวิตคนเขมรหรอกนะ,3.0,,,3,Cambodians,hateful,Cambodians,0,Cambodians,0
มีคนกรุงบางคนได้เป็นรัฐบาล แม่งก็ยังเป็นแค่ขยะสำหรับกุอยู่ดี,3.0,,,3,Thai-Central,hateful,Thai-Central,0,Thai-Central,0
อีพวกเด็กผู้ชายโง่กันทุกคน,3.0,,,3,boy,hateful,boy,0,boy,0
