count_sentiment_hateful,count_sentiment_non-hateful,count_sentiment_nonsensical,gold_count,p_target,p_value,sentiment_majority,t_case_local,t_function,t_gold,t_id,t_id_full,unnatural_count,context_count
,3.0,,3,Malay,คนมาเล,non-hateful,เราไม่ควรปล่อยให้{IDENTITY_P}ต้องทนทุกข์,negate_neg_nh,non-hateful,439,439,0,0
,3.0,,3,Cambodians,คนเขมร,non-hateful,เราไม่ได้เกลียดพวก{IDENTITY_P},negate_neg_nh,non-hateful,423,423,0,0
3.0,,,3,male,ผู้ชาย,hateful,ไอพวก{IDENTITY_P}แบบมึงไม่คู่ควรจะอยู่ต่อไป,threat_norm_h,hateful,102,102,0,1
3.0,,,3,Highland Indigenous People,คนกะเหรี่ยง,hateful,กำจัด{IDENTITY_P}ให้สิ้นซากไปเลยดีกว่า,threat_dir_h,hateful,95,95,0,0
1.0,2.0,,2,Cambodians,คนเขมร,non-hateful,มึงต้องรับผิดชอบคำพูดของมึงนะ ถ้ามึงพูดว่ามึงจะไปข่มขืน{IDENTITY_S},counter_ref_nh,non-hateful,562,562,0,0
3.0,,,3,disbabled,คนพิการ,hateful,อยากเห็นอีพวก{IDENTITY_P}เจ็บปวด,threat_norm_h,hateful,103,103,0,0
3.0,,,3,christianity,คนคริสต์,hateful,{IDENTITY_P} พวกนี้ควรจะถูกประหารให้สิ้นซากไป,threat_norm_h,hateful,112,112a,0,0
3.0,,,3,christianity,คนคริสต์,hateful,ทำไมพวกมึงยังไม่เข้าใจอีกว่าพวก{IDENTITY_P}เป็นขยะสังคม,phrase_question_h,hateful,450,450,0,0
3.0,,,3,Cambodians,คนเขมร,hateful,กำจัด{IDENTITY_P}ให้สิ้นซากไปเลยดีกว่า,threat_dir_h,hateful,95,95,0,0
2.0,,1.0,2,disbabled,คนพิการ,hateful,มีแต่พวก io จาก{IDENTITY_P}เท่านั้นแหละที่คอยมาแซะรัฐบาล,derog_dehum_h,hateful,60,60b,0,0
3.0,,,3,girl,เด็กผู้หญิง,hateful,พวก{IDENTITY_P}คงไม่กล้าขำกุ ถ้ากุเริ่มยิงใส่พวกแม่ง,ref_subs_clause_h,hateful,374,374,1,0
